# time, vdd, inp, inn, out
1.645967744833948232e-04,7.274193351291529108e-01,3.871774393542419257e-01,7.514515902952048076e-01,6.949715631874094079e-02
1.658291534334180035e-04,6.436175665275766233e-01,4.722115869058413073e-01,6.553260321933968013e-01,1.316246776655820017e-01
1.669078481523371198e-04,5.702663256410767101e-01,5.466415225112604137e-01,5.711878441177057342e-01,1.626848833074638345e-01
1.683137368842858893e-04,4.746658918685603412e-01,6.436478450157254727e-01,4.615285230257016869e-01,1.181438283316458004e-01
1.695064792930014866e-04,3.935594080758997304e-01,7.259470712171016693e-01,3.684946151458851071e-01,5.105215183345961083e-02
1.700000000000000122e-04,3.599999999999999867e-01,7.600000000000000089e-01,3.300000000000000155e-01,3.443624071839358758e-02
1.701110562105118021e-04,3.615547869471650300e-01,7.532255711587808600e-01,3.383292157883842632e-01,3.189971694575299138e-02
1.703331686315354089e-04,3.646643608414955606e-01,7.396767134763407858e-01,3.549876473651547570e-01,2.730135405703119217e-02
1.707773934735826225e-04,3.708835086301565109e-01,7.125789981114607485e-01,3.883045105186958001e-01,2.172284243883236196e-02
1.716085852386594419e-04,3.825201933412319955e-01,6.618763004417748119e-01,4.506438928994572768e-01,2.036906703548664599e-02
1.725570528318824454e-04,3.957987396463540364e-01,6.040197772551716415e-01,5.217789623911824881e-01,2.383110486346019796e-02
1.734723281390645945e-04,4.086125939469041346e-01,5.481879835170604398e-01,5.904246104298437325e-01,2.853094411644116479e-02
1.752758011148284917e-04,4.338612156075987158e-01,4.381761319954627365e-01,7.256850836121360171e-01,4.199666698293548495e-02
1.767786412638557307e-04,4.549009776939800798e-01,3.465028829048011350e-01,8.383980947891789270e-01,4.646007004446842115e-02
1.790020418569453914e-04,4.860285859972353073e-01,2.108754467263318499e-01,1.005153139270903440e+00,3.580295565631556876e-02
1.800000000000000113e-04,5.000000000000000000e-01,1.499999999999999944e-01,1.080000000000000071e+00,4.705768167295158039e-02
1.802680277087615303e-04,4.983918337474309013e-01,1.762667154586288754e-01,1.080536055417523178e+00,5.202303892380166772e-02
1.808040831262845954e-04,4.951755012422924818e-01,2.288001463758892462e-01,1.081608166252569170e+00,5.945334827555416590e-02
1.818761939613307255e-04,4.887428362320156983e-01,3.338670082104100434e-01,1.083752387922661597e+00,7.773755451390777782e-02
1.830876255823882639e-04,4.814742465056705001e-01,4.525873070740488169e-01,1.086175251164776645e+00,1.112064812938689251e-01
1.845539763386818376e-04,4.726761419679090248e-01,5.962896811908190431e-01,1.089107952677363711e+00,1.284016687652334010e-01
1.861694974643320695e-04,4.629830152140076427e-01,7.546107515045418213e-01,1.092338994928664153e+00,1.246772601116602902e-01
1.880125519542909902e-04,4.519246882742541382e-01,9.352300915205160603e-01,1.096025103908581988e+00,1.338710577812391445e-01
1.900000000000000105e-04,4.400000000000000022e-01,1.130000000000000115e+00,1.100000000000000089e+00,1.743578959199327261e-01
1.902123800158336483e-04,4.387257199049982015e-01,1.117257199049981775e+00,1.091080039334987317e+00,1.767305257150172115e-01
1.906371400475009512e-04,4.361771597149943780e-01,1.091771597149943762e+00,1.073240118004960664e+00,1.760090594081422100e-01
1.914866601108355568e-04,4.310800393349867310e-01,1.040800393349867292e+00,1.037560275344907135e+00,1.554819655538937084e-01
1.927594529239157954e-04,4.234432824565053100e-01,9.644328245650529707e-01,9.841029771955370764e-01,1.121395582749860342e-01
1.941790412071954237e-04,4.149257527568275261e-01,8.792575275682752434e-01,9.244802692977927006e-01,7.199227662210089251e-02
1.960376198496165199e-04,4.037742809023009416e-01,7.677428090230093982e-01,8.464199663161067200e-01,4.279811926431992264e-02
